GEOID,County_Name,NOAA_CDD_Recent5yr,NOAA_CDD_Trend_perDecade,NOAA_Tmax_Summer_Recent5yr_F,NOAA_Tmax_Summer_Trend_perDecade_F,NOAA_Heat_Data_Recent_Year,HWAV_AFREQ,HWAV_RISKS,HWAV_RISKR,HWAV_EALT,HWAV_EALR,HWAV_ALR_NPCTL,SOVI_SCORE,RESL_SCORE,EAL_SCORE,NOAA_Tmax_Trend_Positive,Heat_Climate_Stress_Index,Heat_Climate_Data_Coverage_Pct,Heat_Climate_Source
17125,Mason County,1183.0,-3.821,85.56,-0.561,2024,7.105263157894727,57.38599871547848,Relatively Low,472948.99376870075,Relatively Low,16.55215490318551,52.92620865,68.73409669211196,43.13118811881188,0.0,38.1,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17127,Massac County,1572.6,-76.214,87.5,-1.829,2024,10.57894736842107,72.80025690430315,Relatively Low,858175.2714735754,Relatively Low,5.840099937539038,62.18193384,28.085241730279897,57.67326732673267,0.0,56.3,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17129,Menard County,1121.8,-59.429,84.9,-1.061,2024,8.052631578947366,60.05138086062941,Relatively Low,495463.38578807376,Relatively Low,8.432229856339788,62.08651399,83.49236641221374,26.67079207920792,0.0,33.8,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17131,Mercer County,1050.8,16.214,84.26,-0.036,2024,8.15789473684209,48.49068721901092,Relatively Low,551220.0697903387,Relatively Low,6.1524047470331045,10.62340967,85.68702290076335,21.81311881188119,0.0,24.7,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17133,Monroe County,1512.2,-104.179,87.7,-1.7,2024,13.210575973430785,87.57225433526011,Relatively Moderate,4286204.118022274,Relatively Moderate,12.054965646470956,10.62340967,94.94274809160305,64.57301980198021,0.0,63.5,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17135,Montgomery County,1213.8,-69.321,85.74,-1.146,2024,9.421052631578954,79.4155427103404,Relatively Moderate,1324299.6656091532,Relatively Low,19.331667707682698,55.37531807,76.24045801526718,63.582920792079214,0.0,49.6,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17137,Morgan County,1140.0,-61.464,85.3,-0.936,2024,8.368421052631572,83.36544637122671,Relatively Moderate,1766847.8177507638,Relatively Moderate,8.838226108682074,46.02417303,78.14885496183206,71.00866336633663,0.0,45.5,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17139,Moultrie County,1122.4,-60.321,84.62,-1.164,2024,7.31578947368422,55.84457289659602,Relatively Low,357082.7334847668,Relatively Low,8.557151780137415,81.17048346,60.43256997455471,36.540841584158414,0.0,31.2,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17141,Ogle County,859.0,14.857,83.14,-0.079,2024,3.5789473684210478,41.74694926140013,Relatively Low,303981.0924018533,Relatively Low,44.15990006246096,17.46183206,86.06870229007633,77.44430693069307,0.0,24.7,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17143,Peoria County,1144.0,16.321,85.22,-0.339,2024,6.526315581680915,92.8709055876686,Relatively Moderate,3940160.2584148645,Relatively Moderate,4.653341661461587,49.96819338,93.57506361323156,89.32549504950495,0.0,48.4,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17145,Perry County,1399.2,-64.786,86.76,-1.636,2024,10.263157894736846,78.90173410404624,Relatively Moderate,1204318.663013086,Relatively Low,12.58588382261087,64.05852417,82.22010178117048,68.8118811881188,0.0,54.7,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
