GEOID,County_Name,Water_Stress_Index,Aqueduct_BWS_Score,Aqueduct_Drought_Score,Aqueduct_GWDecline_Score,Aqueduct_OverallPowerRisk_Score,Aqueduct_DefaultOverall_Score,Aqueduct_Coverage_Pct,Aqueduct_Source
17037,DeKalb County,63.54,3.814,2.531,,2.556,2.267,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17039,De Witt County,32.7,1.039,2.821,,1.248,0.968,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17041,Douglas County,47.73,2.36,2.831,,1.715,1.595,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17043,DuPage County,61.34,3.529,2.759,3.149,2.241,2.056,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17045,Edgar County,41.92,1.893,2.729,,1.582,1.367,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17047,Edwards County,29.03,0.768,2.755,,1.101,0.982,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17049,Effingham County,38.55,1.583,2.822,,1.355,1.255,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17051,Fayette County,48.26,2.42,2.823,,1.712,1.6,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17053,Ford County,41.4,1.806,2.757,,1.629,1.363,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17055,Franklin County,50.97,2.654,2.802,,1.846,1.766,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17057,Fulton County,39.81,1.609,2.822,,1.621,1.422,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17059,Gallatin County,23.21,0.264,2.652,,1.064,0.908,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17061,Greene County,21.26,0.0,2.816,,0.976,0.795,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17063,Grundy County,60.59,3.501,2.768,,2.209,1.934,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
17065,Hamilton County,29.62,0.832,2.723,,1.141,1.03,100.0,WRI Aqueduct 4.0 baseline_annual (2023-07-05 release)
