GEOID,County_Name,LandCover_Agricultural_Pct,LandCover_Forested_Pct,LandCover_UrbanBuiltUp_Pct,LandCover_Wetland_Pct,LandCover_Agricultural_Rank,LandCover_Forested_Rank,LandCover_UrbanBuiltUp_Rank,LandCover_Wetland_Rank,Total_Site_Count,Chicago_Zoning_Site_Covered_Count,Chicago_Zoning_Residential_Site_Count,Chicago_Zoning_Industrial_Site_Count,Chicago_Zoning_Commercial_Site_Count,Chicago_Zoning_Special_Site_Count,Chicago_Zoning_Residential_Nearby500m_Count,Chicago_Zoning_Coverage_Pct,Chicago_Zoning_Residential_Site_Share_Pct,Chicago_Zoning_IndustrialCommercial_Site_Share_Pct,Chicago_Zoning_Residential_Nearby500m_Share_Pct,Zoning_Annoyance_Threshold_Index,Zoning_Allowance_Index,LandUse_Zoning_Data_Coverage_Pct,LandUse_Zoning_Source
17041,Douglas County,93.7,1.1,3.0,2.0,7.0,99.0,31.0,82.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17043,DuPage County,7.2,14.1,75.0,2.0,101.0,36.0,31.0,81.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,14.12,,66.7,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17045,Edgar County,89.0,8.2,1.6,0.4,17.0,68.0,31.0,101.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17047,Edwards County,80.4,14.2,1.6,3.2,45.0,34.0,31.0,49.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17049,Effingham County,73.7,17.7,3.5,4.6,66.0,22.0,31.0,34.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17051,Fayette County,69.9,18.8,1.6,8.3,72.0,20.0,31.0,16.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17053,Ford County,97.1,0.3,2.2,0.3,1.0,102.0,31.0,102.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17055,Franklin County,68.3,8.8,4.6,12.7,75.0,64.0,31.0,2.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17057,Fulton County,67.1,22.7,2.1,4.3,79.0,14.0,31.0,39.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17059,Gallatin County,73.6,12.3,2.3,9.7,67.0,48.0,31.0,10.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17061,Greene County,84.0,11.0,1.8,2.2,32.0,54.0,31.0,73.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17063,Grundy County,83.6,4.2,4.8,4.4,34.0,87.0,31.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.74,,66.7,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17065,Hamilton County,78.1,14.1,1.8,5.4,53.0,37.0,31.0,28.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17067,Hancock County,81.2,11.4,2.3,2.5,41.0,51.0,31.0,67.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17069,Hardin County,31.0,58.0,3.4,5.4,98.0,2.0,31.0,30.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17071,Henderson County,77.3,10.7,1.6,5.2,57.0,57.0,31.0,31.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17073,Henry County,89.3,5.4,3.1,1.6,15.0,77.0,31.0,87.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17075,Iroquois County,94.9,1.6,2.3,0.9,3.0,95.0,31.0,98.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17077,Jackson County,58.5,23.7,3.5,10.6,91.0,10.0,31.0,8.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17079,Jasper County,82.4,13.2,0.9,2.3,38.0,40.0,31.0,70.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17081,Jefferson County,63.0,19.8,3.1,10.9,89.0,16.0,31.0,7.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17083,Jersey County,69.6,23.0,2.4,3.0,73.0,12.0,31.0,51.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17085,Jo Daviess County,63.8,27.6,2.0,2.9,87.0,8.0,31.0,54.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17087,Johnson County,51.6,33.4,2.0,11.1,96.0,3.0,31.0,5.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17089,Kane County,64.9,8.2,24.6,1.0,83.0,67.0,31.0,96.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,4.52,,66.7,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17091,Kankakee County,88.4,3.4,5.5,1.7,18.0,91.0,31.0,86.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17093,Kendall County,86.8,4.9,6.0,1.4,23.0,82.0,31.0,90.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17095,Knox County,79.6,13.9,3.0,2.0,50.0,38.0,31.0,79.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17097,Lake County,19.3,22.9,47.4,4.3,100.0,13.0,31.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,8.86,,66.7,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17099,LaSalle County,86.3,5.4,4.3,2.2,25.0,78.0,31.0,75.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17101,Lawrence County,76.3,15.3,1.4,5.5,58.0,31.0,31.0,27.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17103,Lee County,91.0,4.4,2.1,1.8,11.0,85.0,31.0,84.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17105,Livingston County,95.7,0.5,2.6,0.8,2.0,101.0,31.0,99.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17107,Logan County,94.0,1.2,3.1,1.6,5.0,98.0,31.0,88.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17109,McDonough County,85.1,10.3,1.9,2.2,28.0,59.0,31.0,76.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17111,McHenry County,66.4,12.4,16.9,2.1,80.0,46.0,31.0,78.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17113,McLean County,92.0,1.6,5.0,1.2,9.0,96.0,31.0,94.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17115,Macon County,84.4,3.5,8.4,2.7,29.0,90.0,31.0,62.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
