OBJECTID,ID,STATE_NAME,ST_ABBREV,ACSTOTPOP,MINORPCT,LOWINCPCT,PM25,OZONE,DSLPM,P_PM25,P_OZONE,P_DSLPM,P_CANCR,P_RESP,P_PTRAF
67290,171430034021,Illinois,IL,2434,0.0899753492193919,0.114937759336099,9.10392082191781,47.332685620915,0.3055744215,67.907216594646,83.4257856423355,37.0194801560206,21.4339823509251,17.799601206282,37.0008147647298
67291,171430034022,Illinois,IL,1567,0.104020421186981,0.279514996809189,9.10392082191781,47.332685620915,0.3055744215,67.907216594646,83.4257856423355,37.0194801560206,21.4339823509251,17.799601206282,16.5640690952946
67292,171430036011,Illinois,IL,2822,0.0793763288447909,0.328782287822878,8.97977123287671,47.0608954248366,0.3474912102,64.0189219086458,82.6037941309833,43.856259081567,17.1495031708045,16.2120936333142,55.6513684619187
67293,171430036021,Illinois,IL,805,0.0024844720496894402,0.26583850931677,8.91917397260274,46.8930241830065,0.3211254962,62.0592700714406,81.8070515354397,39.5160013088993,14.9625596656807,14.8714442738797,58.4488191392939
67294,171430036022,Illinois,IL,814,0.0405405405405405,0.56019656019656,8.91917397260274,46.8930241830065,0.3211254962,62.0592700714406,81.8070515354397,39.5160013088993,14.9625596656807,14.8714442738797,51.1031389206846
67295,171430036023,Illinois,IL,592,0.0304054054054054,0.317567567567567,8.91917397260274,46.8930241830065,0.3211254962,62.0592700714406,81.8070515354397,39.5160013088993,14.9625596656807,14.8714442738797,11.6823648263691
67296,171430036024,Illinois,IL,1570,0.0834394904458598,0.24713375796178302,8.91917397260274,46.8930241830065,0.3211254962,62.0592700714406,81.8070515354397,39.5160013088993,14.9625596656807,14.8714442738797,12.6955820142041
67297,171430036025,Illinois,IL,1492,0.0442359249329758,0.414879356568364,8.91917397260274,46.8930241830065,0.3211254962,62.0592700714406,81.8070515354397,39.5160013088993,14.9625596656807,14.8714442738797,62.2830454703383
67298,171430037001,Illinois,IL,1464,0.0676229508196721,0.154371584699453,8.92889534246575,46.8709503267974,0.2708154518,62.3893030572486,81.6951287260869,31.1668840792513,15.6991144731379,14.0132861061593,7.78280525890389
67299,171430037002,Illinois,IL,2125,0.0414117647058823,0.09929411764705881,8.92889534246575,46.8709503267974,0.2708154518,62.3893030572486,81.6951287260869,31.1668840792513,15.6991144731379,14.0132861061593,25.5855093710332
67300,171430038001,Illinois,IL,1842,0.0754614549402823,0.267138193688792,8.79541369863014,46.3390732026144,0.2221340345,58.2001726400542,78.8089039716706,23.0931201534694,11.0140153638667,10.0542938317358,
67301,171430038002,Illinois,IL,1597,0.061991233562930396,0.166875784190715,8.79541369863014,46.3390732026144,0.2221340345,58.2001726400542,78.8089039716706,23.0931201534694,11.0140153638667,10.0542938317358,
67302,171430039001,Illinois,IL,546,0.0641025641025641,0.276556776556776,8.89941753424658,46.6914124183007,0.2184421021,61.4728594498481,80.7909488510697,22.5212397190196,14.606634357898,12.4619260524928,15.4964637526009
67303,171430039002,Illinois,IL,3651,0.23253903040262902,0.0192678227360308,8.89941753424658,46.6914124183007,0.2184421021,61.4728594498481,80.7909488510697,22.5212397190196,14.606634357898,12.4619260524928,14.8179358985885
67304,171430039003,Illinois,IL,1372,0.060495626822157395,0.025354213273676297,8.89941753424658,46.6914124183007,0.2184421021,61.4728594498481,80.7909488510697,22.5212397190196,14.606634357898,12.4619260524928,12.422024345823
67305,171430039004,Illinois,IL,1588,0.027078085642317302,0.13943217665615099,8.89941753424658,46.6914124183007,0.2184421021,61.4728594498481,80.7909488510697,22.5212397190196,14.606634357898,12.4619260524928,30.2357611819251
67306,171430040001,Illinois,IL,1375,0.042909090909090904,0.164222873900293,8.89999123287671,46.7135679738562,0.1965948462,61.4893159538874,80.88943658337,18.6280217165662,11.7623905129856,10.6835210149727,19.7901026199723
67307,171430040002,Illinois,IL,744,0.0524193548387096,0.38306451612903203,8.89999123287671,46.7135679738562,0.1965948462,61.4893159538874,80.88943658337,18.6280217165662,11.7623905129856,10.6835210149727,13.843385117817
67308,171430040003,Illinois,IL,2456,0.0256514657980456,0.262080262080262,8.89999123287671,46.7135679738562,0.1965948462,61.4893159538874,80.88943658337,18.6280217165662,11.7623905129856,10.6835210149727,
67309,171430041011,Illinois,IL,4008,0.33058882235528897,0.154176129195054,9.13528657534247,47.241377124183,0.262309832,68.9069700261255,83.1610274516642,29.8449060640955,20.0004211283273,17.2310754861591,52.3431474148756
67310,171430041012,Illinois,IL,1482,0.193657219973009,0.169480081026333,9.13528657534247,47.241377124183,0.262309832,68.9069700261255,83.1610274516642,29.8449060640955,20.0004211283273,17.2310754861591,13.3726642329742
67311,171430041013,Illinois,IL,1311,0.257055682684973,0.119755911517925,9.13528657534247,47.241377124183,0.262309832,68.9069700261255,83.1610274516642,29.8449060640955,20.0004211283273,17.2310754861591,44.7563390780198
67312,171430041021,Illinois,IL,1856,0.38415948275862,0.423121387283237,9.27938410958904,47.5129052287582,0.396514711,74.0122438098589,83.9724818494189,51.0456860480328,30.7193145683871,28.4300025550228,55.7877366465096
67313,171430041022,Illinois,IL,1268,0.257097791798107,0.521293375394321,9.27938410958904,47.5129052287582,0.396514711,74.0122438098589,83.9724818494189,51.0456860480328,30.7193145683871,28.4300025550228,14.1868300213844
67314,171430042001,Illinois,IL,881,0.219069239500567,0.15664018161180399,9.27551945205479,47.6637320261438,0.3937326479,73.8753598544951,84.4550892595348,50.6398142514906,29.7541695452856,23.9687142235315,44.9984015324972
67315,171430042002,Illinois,IL,1486,0.231493943472409,0.420974889217134,9.27551945205479,47.6637320261438,0.3937326479,73.8753598544951,84.4550892595348,50.6398142514906,29.7541695452856,23.9687142235315,42.9382892442973
67316,171430042003,Illinois,IL,1030,0.0300970873786407,0.32135922330097005,9.27551945205479,47.6637320261438,0.3937326479,73.8753598544951,84.4550892595348,50.6398142514906,29.7541695452856,23.9687142235315,52.0718223052909
67317,171430043001,Illinois,IL,1313,0.0746382330540746,0.427591463414634,9.28803808219178,47.6820960784314,0.4367551112,74.2943822986219,84.5207456692243,56.6250874366373,30.9456606663305,27.5631727497147,30.7563332558384
67318,171430043002,Illinois,IL,1135,0.17885462555065998,0.477797513321492,9.28803808219178,47.6820960784314,0.4367551112,74.2943822986219,84.5207456692243,56.6250874366373,30.9456606663305,27.5631727497147,75.226140182085
67319,171430044001,Illinois,IL,646,0.0278637770897832,0.445820433436532,9.35259095890411,47.6043196078431,0.451973503,76.3924376903172,84.2585109983169,58.5955274870527,33.0173397311795,29.8493543366063,14.1147337638795
67320,171430044002,Illinois,IL,1363,0.328686720469552,0.45681381957773504,9.35259095890411,47.6043196078431,0.451973503,76.3924376903172,84.2585109983169,58.5955274870527,33.0173397311795,29.8493543366063,57.5899046224497
